Nombre,Puntaje_Compuesto,Calidad_Bayes,Dificultad,Tasa_Recomendacion,Trust_Score,N_Resenas
Mario  Ramos,8.611704582921199,8.111704582921199,0.0,0.92,1.0,5
Alberto Puerta Rivera,8.578371249587866,8.178371249587865,0.0,1.0,0.8,5
Lourdes Sanchez Acosta,8.578371249587866,8.178371249587865,0.0,0.92,0.8,5
BEATRIZ IMELDA LOPEZ MANJARREZ BEATRIZ IMELDA,8.578371249587866,8.178371249587865,0.0,1.0,0.8,5
Victor manuel Bátiz Beltran,8.578371249587866,8.178371249587865,0.0,0.92,0.8,5
Bertha Lucia Patron Arellano,8.578371249587866,8.178371249587865,0.0,1.0,0.8,5
Lazaro Ramos,8.578371249587866,8.178371249587865,0.0,1.0,0.8,5
Victor Mauel Batiz Beltran,8.578371249587866,8.178371249587865,0.0,1.0,0.8,5
Carlos Enrique Sanchez Lizarraga,8.578371249587866,8.178371249587865,0.0,1.0,0.8,5
César augusto Aguilar díaz,8.548254910272714,8.048254910272714,0.0,1.0,1.0,4
